,Date,Time,Open,High,Low,Close,todrop
2172,2015-12-15,17:00:00,1.50345,1.50378,1.5034,1.50342,0.0
2173,2015-12-16,17:00:00,1.50002,1.50012,1.4997,1.49987,0.0
2174,2015-12-17,17:00:00,1.48962,1.4898,1.48951,1.48952,0.0
2175,2015-12-18,17:00:00,1.48882,1.4893,1.4887,1.489,0.0
2176,2015-12-19,17:00:00,1.48882,1.4893,1.4887,1.489,0.0
2177,2015-12-20,17:00:00,1.48984,1.49013,1.48899,1.48899,0.0
2178,2015-12-21,17:00:00,1.48806,1.48814,1.48804,1.48814,0.0
2179,2015-12-22,17:00:00,1.48257,1.48273,1.48221,1.48227,0.0
2180,2015-12-23,17:00:00,1.48681,1.48702,1.48654,1.48654,0.0
2181,2015-12-24,17:00:00,1.49234,1.49235,1.49214,1.49215,0.0
2182,2015-12-25,17:00:00,1.49234,1.49235,1.49214,1.49215,0.0
2183,2015-12-26,17:00:00,1.49234,1.49235,1.49214,1.49215,0.0
2184,2015-12-27,17:00:00,1.49234,1.49235,1.49214,1.49215,0.0
2185,2015-12-28,17:00:00,1.48769,1.48779,1.48747,1.48756,0.0
2186,2015-12-29,17:00:00,1.48125,1.48134,1.4812,1.48134,0.0
2187,2015-12-30,17:00:00,1.48147,1.48155,1.48138,1.48149,0.0
2188,2015-12-31,17:00:00,1.47331,1.47331,1.47331,1.47331,0.0
2189,2016-01-01,17:00:00,1.47331,1.47331,1.47331,1.47331,0.0
2190,2016-01-02,17:00:00,1.47331,1.47331,1.47331,1.47331,0.0
2191,2016-01-03,17:00:00,1.47335,1.47335,1.47329,1.47329,0.0
2192,2016-01-04,17:00:00,1.47126,1.47135,1.47116,1.47134,0.0
2193,2016-01-05,17:00:00,1.4672,1.46742,1.4664,1.46675,0.0
2194,2016-01-06,17:00:00,1.46272,1.46299,1.46272,1.46299,0.0
2195,2016-01-07,17:00:00,1.46161,1.46161,1.46128,1.46159,0.0
2196,2016-01-08,17:00:00,1.45194,1.45194,1.45166,1.45182,0.0
2197,2016-01-09,17:00:00,1.45194,1.45194,1.45166,1.45182,0.0
2198,2016-01-10,17:00:00,1.45241,1.45249,1.45241,1.45249,0.0
2199,2016-01-11,17:00:00,1.45409,1.45437,1.454,1.45437,0.0
2200,2016-01-12,17:00:00,1.44443,1.44446,1.44431,1.44442,0.0
2201,2016-01-13,17:00:00,1.44036,1.44081,1.4403,1.44067,0.0
2202,2016-01-14,17:00:00,1.44099,1.44117,1.44099,1.44117,0.0
2203,2016-01-15,17:00:00,1.42535,1.42545,1.42485,1.42541,0.0
2204,2016-01-16,17:00:00,1.42535,1.42545,1.42485,1.42541,0.0
2205,2016-01-17,17:00:00,1.42527,1.42527,1.42527,1.42527,0.0
2206,2016-01-18,17:00:00,1.4242,1.42429,1.4241,1.42427,0.0
2207,2016-01-19,17:00:00,1.41553,1.4157,1.41536,1.4157,0.0
2208,2016-01-20,17:00:00,1.41874,1.41909,1.41873,1.41901,0.0
2209,2016-01-21,17:00:00,1.42203,1.42203,1.42183,1.42199,0.0
2210,2016-01-22,17:00:00,1.42625,1.4263,1.42624,1.4263,0.0
2211,2016-01-23,17:00:00,1.42625,1.4263,1.42624,1.4263,0.0
2212,2016-01-24,17:00:00,1.42646,1.42646,1.4263,1.42635,0.0
2213,2016-01-25,17:00:00,1.4248,1.42481,1.42458,1.42479,0.0
2214,2016-01-26,17:00:00,1.43475,1.43499,1.43475,1.43497,0.0
2215,2016-01-27,17:00:00,1.42305,1.42329,1.42305,1.42329,0.0
2216,2016-01-28,17:00:00,1.43571,1.43586,1.43564,1.43583,0.0
2217,2016-01-29,17:00:00,1.4242,1.42426,1.42375,1.42375,0.0
2218,2016-01-30,17:00:00,1.4242,1.42426,1.42375,1.42375,0.0
2219,2016-01-31,17:00:00,1.42494,1.42494,1.42455,1.42455,0.0
2220,2016-02-01,17:00:00,1.44309,1.44321,1.44284,1.44321,0.0
2221,2016-02-02,17:00:00,1.44085,1.4409,1.44069,1.44077,0.0
2222,2016-02-03,17:00:00,1.4602,1.4602,1.4595,1.4596,0.0
2223,2016-02-04,17:00:00,1.45892,1.45892,1.4588,1.4588,0.0
